dataset: B
instance: FS2
+-----------+
2D Packing Heuristic in Truck P326633601
Min2DVol: 30.69855999999999 [m2]
Stack 0 with items: ['0091017500_26102022000797', '0091017500_26102022000122']
Stack 1 with items: ['0091017500_26102022001645', '0091017500_26102022001645']
Stack 2 with items: ['0091017500_26102022001645', '0091017500_26102022001645']
Stack 3 with items: ['0091017500_26102022001645', '0091017500_26102022001645']
Stack 4 with items: ['0091017500_26102022001645', '0091017500_26102022001645']
Stack 5 with items: ['0091017500_26102022001645', '0091017500_26102022001645']
Stack 6 with items: ['0091017500_26102022001645', '0091017500_26102022001645']
Stack 7 with items: ['0091017500_26102022001645', '0091017500_26102022001645']
Stack 8 with items: ['0091017500_26102022001645', '0091017500_26102022001645']
Stack 9 with items: ['0091017500_26102022001645', '0091017500_26102022001645']
Stack 10 with items: ['0091017500_26102022001645', '0091017500_26102022001645']
Stack 11 with items: ['0091017500_26102022001645', '0091017500_26102022001645']
Stack 12 with items: ['0091017500_26102022001645', '0091017500_26102022001645']
Stack 13 with items: ['0091017500_26102022001645', '0091017500_26102022001645']
Stack 14 with items: ['0091017500_26102022001645', '0091017500_26102022001645']
Stack 15 with items: ['0091017500_26102022001645', '0091017500_26102022001645']
Stack 16 with items: ['0091017500_26102022001645', '0091017500_26102022001645']
Stack 17 with items: ['0091017500_26102022001645', '0091017500_26102022001645']
Stack 18 with items: ['0091017500_26102022001645', '0091017500_26102022001645']
Stack 19 with items: ['0091017500_26102022001645', '0091017500_26102022001645']
Stack 20 with items: ['0091017500_26102022001645', '0091017500_26102022000174']
Stack 21 with items: ['0091017500_26102022000330', '0091017500_26102022000330']
Stack 22 with items: ['0091017500_26102022000226', '0091017500_26102022000330']
Stack 23 with items: ['0091017500_26102022000226', '0091017500_26102022000226']
Stack 24 with items: ['0091017500_26102022000226', '0091017500_26102022000330']
Stack 25 with items: ['0091017500_26102022000226']
Heuristic packed all stacks
