dataset: X
instance: RM3
+-----------+
2D Packing Heuristic in Truck P207391311
Min2DVol: 31.23611999999999 [m2]
Stack 0 with items: ['0090038200_08062023001588', '0090038200_08062023001253']
Stack 1 with items: ['0090038200_08062023021961', '0090038200_08062023022773']
Stack 2 with items: ['0090038200_08062023026139', '0090038200_08062023026139', '0090038200_08062023026139']
Stack 3 with items: ['0090038200_08062023026139', '0090038200_08062023024282', '0090038200_08062023023888']
Stack 4 with items: ['0090038200_08062023023888', '0090038200_08062023023888', '0090038200_08062023023888']
Stack 5 with items: ['0090038200_08062023023888', '0090038200_08062023023135', '0090038200_08062023022391']
Stack 6 with items: ['0090038200_08062023022391', '0090038200_08062023021028', '0090038200_08062023022391']
Stack 7 with items: ['0090038200_08062023020963', '0090038200_08062023020963', '0090038200_08062023020963']
Stack 8 with items: ['0090038200_08062023020963', '0090038200_08062023020524', '0090038200_08062023020524']
Stack 9 with items: ['0090038200_08062023020524', '0090038200_08062023020524', '0090038200_08062023020524']
Stack 10 with items: ['0090038200_08062023020524', '0090038200_08062023020524', '0090038200_08062023020524']
Stack 11 with items: ['0090038200_08062023020524', '0090038200_08062023020524', '0090038200_08062023020524']
Stack 12 with items: ['0090038200_08062023020524', '0090038200_08062023020524', '0090038200_08062023020524']
Stack 13 with items: ['0090038200_08062023020524', '0090038200_08062023020524', '0090038200_08062023020524']
Stack 14 with items: ['0090038200_08062023020524', '0090038200_08062023018353', '0090038200_08062023020524']
Stack 15 with items: ['0090038200_08062023018353', '0090038200_08062023014389', '0090038200_08062023014389']
Stack 16 with items: ['0090038200_08062023014389', '0090038200_08062023010397', '0090038200_08062023014389']
Stack 17 with items: ['0090038200_08062023010397', '0090038200_08062023008548', '0090038200_08062023010397']
Stack 18 with items: ['0090038200_08062023008548', '0090038200_08062023007743', '0090038200_08062023007743']
Stack 19 with items: ['0090038200_08062023007743', '0090038200_08062023007743', '0090038200_08062023007743']
Stack 20 with items: ['0090038200_08062023007743', '0090038200_08062023004759', '0090038200_08062023004759']
Stack 21 with items: ['0090038200_08062023004759', '0090038200_08062023004759', '0090038200_08062023004759']
Stack 22 with items: ['0090038200_08062023004759', '0090038200_08062023003880', '0090038200_08062023003880']
Stack 23 with items: ['0090038200_08062023003880', '0090038200_08062023003880', '0090038200_08062023003880']
Stack 24 with items: ['0090038200_08062023003880', '0090038200_08062023003880', '0090038200_08062023003880']
Stack 25 with items: ['0090038200_08062023001561', '0090038200_08062023001561', '0090038200_08062023001561']
Heuristic packed all stacks
