dataset: C
instance: TR
+-----------+
2D Packing Heuristic in Truck P075420401
Min2DVol: 31.272239999999986 [m2]
Stack 0 with items: ['0090017000_27022023001205', '0090017000_27022023001205']
Stack 1 with items: ['0090017000_27022023001205', '0090017000_27022023001205']
Stack 2 with items: ['0090017000_27022023029642']
Stack 3 with items: ['0090017000_27022023020918', '0090017000_27022023001205']
Stack 4 with items: ['0090017000_27022023030841', '0090017000_27022023030841', '0090017000_27022023030841']
Stack 5 with items: ['0090017000_27022023030841', '0090017000_27022023027619', '0090017000_27022023027619']
Stack 6 with items: ['0090017000_27022023030825', '0090017000_27022023022242', '0090017000_27022023030825']
Stack 7 with items: ['0090017000_27022023027619', '0090017000_27022023027619', '0090017000_27022023027619']
Stack 8 with items: ['0090017000_27022023027619', '0090017000_27022023021450', '0090017000_27022023027619']
Stack 9 with items: ['0090017000_27022023021706', '0090017000_27022023018979', '0090017000_27022023018979']
Stack 10 with items: ['0090017000_27022023021450', '0090017000_27022023021450', '0090017000_27022023021450']
Stack 11 with items: ['0090017000_27022023021450', '0090017000_27022023021450', '0090017000_27022023021450']
Stack 12 with items: ['0090017000_27022023021450', '0090017000_27022023007779', '0090017000_27022023007779']
Stack 13 with items: ['0090017000_27022023018979', '0090017000_27022023016640', '0090017000_27022023016640']
Stack 14 with items: ['0090017000_27022023016117', '0090017000_27022023016117', '0090017000_27022023016117']
Stack 15 with items: ['0090017000_27022023016117', '0090017000_27022023013437', '0090017000_27022023016117']
Stack 16 with items: ['0090017000_27022023013437', '0090017000_27022023006324', '0090017000_27022023006324']
Stack 17 with items: ['0090017000_27022023007779', '0090017000_27022023007779', '0090017000_27022023007779']
Stack 18 with items: ['0090017000_27022023007779', '0090017000_27022023007779', '0090017000_27022023007779']
Stack 19 with items: ['0090017000_27022023007779', '0090017000_27022023007779', '0090017000_27022023007779']
Stack 20 with items: ['0090017000_27022023007779', '0090017000_27022023007779', '0090017000_27022023007779']
Stack 21 with items: ['0090017000_27022023007779', '0090017000_27022023007779', '0090017000_27022023007779']
Stack 22 with items: ['0090017000_27022023007779', '0090017000_27022023007779', '0090017000_27022023007779']
Stack 23 with items: ['0090017000_27022023007779', '0090017000_27022023007779', '0090017000_27022023007779']
Stack 24 with items: ['0090017000_27022023007779', '0090017000_27022023007779', '0090017000_27022023007779']
Stack 25 with items: ['0090017000_27022023006324', '0090017000_27022023006324', '0090017000_27022023006324']
Heuristic packed all stacks
