dataset: X
instance: SA4
+-----------+
2D Packing Heuristic in Truck P202056119
Min2DVol: 32.544479999999986 [m2]
Stack 0 with items: ['0090017100_14062023029570', '0090017100_14062023028418']
Stack 1 with items: ['0090017100_14062023028418', '0090017100_14062023028102']
Stack 2 with items: ['0090017100_14062023028102', '0090017100_14062023028102']
Stack 3 with items: ['0090017100_14062023024378', '0090017100_14062023023960']
Stack 4 with items: ['0090017100_14062023023960', '0090017100_14062023021693']
Stack 5 with items: ['0090017100_14062023021025', '0090017100_14062023016588']
Stack 6 with items: ['0090017100_14062023014805', '0090017100_14062023002232']
Stack 7 with items: ['0090017100_14062023002232', '0090017100_14062023002232']
Stack 8 with items: ['0090017100_14062023019991', '0090017100_14062023019991', '0090017100_14062023019991']
Stack 9 with items: ['0090017100_14062023024911', '0090017100_14062023024911', '0090017100_14062023024911']
Stack 10 with items: ['0090017100_14062023024911', '0090017100_14062023024911', '0090017100_14062023024911']
Stack 11 with items: ['0090017100_14062023019991', '0090017100_14062023019991', '0090017100_14062023019991']
Stack 12 with items: ['0090017100_14062023018953', '0090017100_14062023018953', '0090017100_14062023018953']
Stack 13 with items: ['0090017100_14062023024911', '0090017100_14062023024911', '0090017100_14062023024911']
Stack 14 with items: ['0090017100_14062023024911', '0090017100_14062023024911', '0090017100_14062023024911']
Stack 15 with items: ['0090017100_14062023024911', '0090017100_14062023018953', '0090017100_14062023024911']
Stack 16 with items: ['0090017100_14062023018953', '0090017100_14062023014884', '0090017100_14062023018953']
Stack 17 with items: ['0090017100_14062023024911', '0090017100_14062023024911', '0090017100_14062023024911']
Stack 18 with items: ['0090017100_14062023018953', '0090017100_14062023014950', '0090017100_14062023018953']
Stack 19 with items: ['0090017100_14062023018953', '0090017100_14062023018953', '0090017100_14062023018953']
Stack 20 with items: ['0090017100_14062023024911', '0090017100_14062023024911', '0090017100_14062023024911']
Stack 21 with items: ['0090017100_14062023024911', '0090017100_14062023024911', '0090017100_14062023024911']
Stack 22 with items: ['0090017100_14062023024911', '0090017100_14062023024911', '0090017100_14062023024911']
Stack 23 with items: ['0090017100_14062023024911', '0090017100_14062023024911', '0090017100_14062023024911']
Stack 24 with items: ['0090017100_14062023019991', '0090017100_14062023019991', '0090017100_14062023019991']
Stack 25 with items: ['0090017100_14062023024911', '0090017100_14062023024911', '0090017100_14062023024911']
Stack 26 with items: ['0090017100_14062023024911', '0090017100_14062023024911', '0090017100_14062023024911']
Stacks not packed:
Stack 19 missing: ['0090017100_14062023018953', '0090017100_14062023018953', '0090017100_14062023018953']
