dataset: X
instance: RM2
+-----------+
2D Packing Heuristic in Truck P187391205
Min2DVol: 30.064 [m2]
Stack 0 with items: ['0090038200_08062023021721', '0090038200_08062023021721', '0090038200_08062023021721']
Stack 1 with items: ['0090038200_08062023021721', '0090038200_08062023021721', '0090038200_08062023021721']
Stack 2 with items: ['0090038200_08062023021721', '0090038200_08062023021721', '0090038200_08062023021721']
Stack 3 with items: ['0090038200_08062023021721', '0090038200_08062023021721', '0090038200_08062023021721']
Stack 4 with items: ['0090038200_08062023001345', '0090038200_08062023001345', '0090038200_08062023021721']
Stack 5 with items: ['0090038200_08062023006521']
Stack 6 with items: ['0090038200_08062023027750', '0090038200_08062023027750']
Stack 7 with items: ['0090038200_08062023027750', '0090038200_08062023027750']
Stack 8 with items: ['0090038200_08062023023650', '0090038200_08062023018848']
Stack 9 with items: ['0090038200_08062023006520', '0090038200_08062023006520']
Stack 10 with items: ['0090038200_08062023006520', '0090038200_08062023006520']
Stack 11 with items: ['0090038200_08062023006520', '0090038200_08062023006520']
Stack 12 with items: ['0090038200_08062023006520', '0090038200_08062023006520']
Stack 13 with items: ['0090038200_08062023006520', '0090038200_08062023006520']
Stack 14 with items: ['0090038200_08062023006520', '0090038200_08062023006520']
Stack 15 with items: ['0090038200_08062023006520', '0090038200_08062023006520']
Stack 16 with items: ['0090038200_08062023006520', '0090038200_08062023006520']
Stack 17 with items: ['0090038200_08062023008190', '0090038200_08062023008190']
Heuristic packed all stacks
