dataset: C
instance: PA
+-----------+
2D Packing Heuristic in Truck P109501503
Min2DVol: 29.52000000000001 [m2]
Stack 0 with items: ['0091017200_27022023010968', '0091017200_27022023017490', '0091017200_27022023021246', '0091017200_27022023021246']
Stack 1 with items: ['0091017200_27022023034821', '0091017200_27022023034821', '0091017200_27022023038557', '0091017200_27022023038557']
Stack 2 with items: ['0091017200_27022023025753', '0091017200_27022023025753', '0091017200_27022023025753']
Stack 3 with items: ['0091017200_27022023061879', '0091017200_27022023061879', '0091017200_27022023061879']
Stack 4 with items: ['0091017200_27022023032450', '0091017200_27022023025753', '0091017200_27022023025753']
Stack 5 with items: ['0091017200_27022023048803', '0091017200_27022023048803', '0091017200_27022023048803']
Stack 6 with items: ['0091017200_27022023048803', '0091017200_27022023048803', '0091017200_27022023048803']
Stack 7 with items: ['0091017200_27022023048803', '0091017200_27022023039509', '0091017200_27022023048803']
Stack 8 with items: ['0091017200_27022023039509', '0091017200_27022023039509', '0091017200_27022023039509']
Stack 9 with items: ['0091017200_27022023039509', '0091017200_27022023039509', '0091017200_27022023039509']
Stack 10 with items: ['0091017200_27022023039509', '0091017200_27022023039509', '0091017200_27022023039509']
Stack 11 with items: ['0091017200_27022023039509', '0091017200_27022023039509', '0091017200_27022023039509']
Stack 12 with items: ['0091017200_27022023039509', '0091017200_27022023029773', '0091017200_27022023039509']
Heuristic packed all stacks
