dataset: C
instance: PA3
+-----------+
2D Packing Heuristic in Truck P100562303
Min2DVol: 30.456000000000007 [m2]
Stack 0 with items: ['0091017200_28022023026103', '0091017200_28022023003567', '0091017200_28022023003567']
Stack 1 with items: ['0091017200_28022023016458', '0091017200_28022023003567', '0091017200_28022023003567']
Stack 2 with items: ['0091017200_28022023036218', '0091017200_28022023036218']
Stack 3 with items: ['0091017200_28022023026583', '0091017200_28022023026583']
Stack 4 with items: ['0091017200_28022023026583', '0091017200_28022023026583']
Stack 5 with items: ['0091017200_28022023026583', '0091017200_28022023012260']
Stack 6 with items: ['0091017200_28022023009800', '0091017200_28022023009800']
Stack 7 with items: ['0091017200_28022023009800', '0091017200_28022023009800']
Stack 8 with items: ['0091017200_28022023009800', '0091017200_28022023009800']
Stack 9 with items: ['0091017200_28022023009800', '0091017200_28022023009800']
Stack 10 with items: ['0091017200_28022023009800', '0091017200_28022023009800']
Stack 11 with items: ['0091017200_28022023009800', '0091017200_28022023009800']
Stack 12 with items: ['0091017200_28022023009800', '0091017200_28022023009800']
Stack 13 with items: ['0091017200_28022023009800', '0091017200_28022023009800']
Stack 14 with items: ['0091017200_28022023009800', '0091017200_28022023009800']
Stack 15 with items: ['0091017200_28022023009800', '0091017200_28022023009800']
Heuristic packed all stacks
