dataset: X
instance: MA
+-----------+
2D Packing Heuristic in Truck P167039405
Min2DVol: 31.259999999999984 [m2]
Stack 0 with items: ['0090016200_08062023003215']
Stack 1 with items: ['0090016200_08062023033795', '0090016200_08062023032275']
Stack 2 with items: ['0090016200_08062023032275', '0090016200_08062023032275']
Stack 3 with items: ['0090016200_08062023032275', '0090016200_08062023032275']
Stack 4 with items: ['0090016200_08062023032275', '0090016200_08062023032275']
Stack 5 with items: ['0090016200_08062023032275', '0090016200_08062023032275']
Stack 6 with items: ['0090016200_08062023032275', '0090016200_08062023032275']
Stack 7 with items: ['0090016200_08062023032275', '0090016200_08062023032275']
Stack 8 with items: ['0090016200_08062023032275', '0090016200_08062023032275']
Stack 9 with items: ['0090016200_08062023032275', '0090016200_08062023032275']
Stack 10 with items: ['0090016200_08062023014604', '0090016200_08062023009508']
Stack 11 with items: ['0090016200_08062023009508', '0090016200_08062023009508']
Stack 12 with items: ['0090016200_08062023009508', '0090016200_08062023009508']
Stack 13 with items: ['0090016200_08062023009508', '0090016200_08062023009508']
Stack 14 with items: ['0090016200_08062023009508', '0090016200_08062023009508']
Heuristic packed all stacks
