dataset: C
instance: MT
+-----------+
2D Packing Heuristic in Truck P083629701
Min2DVol: 20.39999999999999 [m2]
Stack 0 with items: ['0091017700_27022023004163', '0091017700_27022023004163']
Stack 1 with items: ['0091017700_27022023004163', '0091017700_27022023004163']
Stack 2 with items: ['0091017700_27022023004163', '0091017700_27022023004163']
Stack 3 with items: ['0091017700_27022023004163', '0091017700_27022023004163']
Stack 4 with items: ['0091017700_27022023004163', '0091017700_27022023004163']
Stack 5 with items: ['0091017700_27022023004163', '0091017700_27022023004163']
Stack 6 with items: ['0091017700_27022023004163', '0091017700_27022023004163']
Stack 7 with items: ['0091017700_27022023004163', '0091017700_27022023004163']
Stack 8 with items: ['0091017700_27022023004163', '0091017700_27022023004163']
Stack 9 with items: ['0091017700_27022023004163', '0091017700_27022023004163']
Stack 10 with items: ['0091017700_27022023004163', '0091017700_27022023004163']
Stack 11 with items: ['0091017700_27022023004163', '0091017700_27022023004163']
Stack 12 with items: ['0091017700_27022023004163', '0091017700_27022023004163']
Stack 13 with items: ['0091017700_27022023004163', '0091017700_27022023004163']
Stack 14 with items: ['0091017700_27022023004163', '0091017700_27022023004163']
Stack 15 with items: ['0091017700_27022023004163', '0091017700_27022023004163']
Stack 16 with items: ['0091017700_27022023004163', '0091017700_27022023004163']
Heuristic packed all stacks
