dataset: B
instance: SA2
+-----------+
2D Packing Heuristic in Truck P329338201
Min2DVol: 31.92 [m2]
Stack 0 with items: ['0090017100_26102022008265', '0090017100_26102022008265', '0090017100_26102022008265']
Stack 1 with items: ['0090017100_26102022005845', '0090017100_26102022005845', '0090017100_26102022005845']
Stack 2 with items: ['0090017100_26102022005845', '0090017100_26102022005845', '0090017100_26102022008265']
Stack 3 with items: ['0090017100_26102022005845', '0090017100_26102022005845', '0090017100_26102022005845']
Stack 4 with items: ['0090017100_26102022008265', '0090017100_26102022008265', '0090017100_26102022008265']
Stack 5 with items: ['0090017100_26102022008265', '0090017100_26102022008265', '0090017100_26102022008265']
Stack 6 with items: ['0090017100_26102022008265', '0090017100_26102022008265', '0090017100_26102022008265']
Stack 7 with items: ['0090017100_26102022005845', '0090017100_26102022005845', '0090017100_26102022005845']
Stack 8 with items: ['0090017100_26102022016028', '0090017100_26102022016028', '0090017100_26102022016028']
Stack 9 with items: ['0090017100_26102022016028', '0090017100_26102022009945', '0090017100_26102022009945']
Stack 10 with items: ['0090017100_26102022007532', '0090017100_26102022007532', '0090017100_26102022007532']
Stack 11 with items: ['0090017100_26102022007532', '0090017100_26102022007532', '0090017100_26102022007532']
Stack 12 with items: ['0090017100_26102022007532', '0090017100_26102022007532', '0090017100_26102022007532']
Stack 13 with items: ['0090017100_26102022007532', '0090017100_26102022007532', '0090017100_26102022007532']
Stack 14 with items: ['0090017100_26102022007532', '0090017100_26102022007532', '0090017100_26102022007532']
Stack 15 with items: ['0090017100_26102022007532', '0090017100_26102022007532', '0090017100_26102022007532']
Stack 16 with items: ['0090017100_26102022007532', '0090017100_26102022007532', '0090017100_26102022007532']
Stack 17 with items: ['0090017100_26102022010336', '0090017100_26102022010336', '0090017100_26102022010336']
Stack 18 with items: ['0090017100_26102022010336', '0090017100_26102022010336', '0090017100_26102022010336']
Stack 19 with items: ['0090017100_26102022010336', '0090017100_26102022010336', '0090017100_26102022010336']
Stack 20 with items: ['0090017100_26102022010336', '0090017100_26102022010336', '0090017100_26102022010336']
Stack 21 with items: ['0090017100_26102022010336', '0090017100_26102022010336', '0090017100_26102022010336']
Stack 22 with items: ['0090017100_26102022010336', '0090017100_26102022011038']
Heuristic packed all stacks
