dataset: X
instance: TR
+-----------+
2D Packing Heuristic in Truck P189425503
Min2DVol: 31.272239999999986 [m2]
Stack 0 with items: ['0090017000_08062023040801', '0090017000_08062023015428']
Stack 1 with items: ['0090017000_08062023020606', '0090017000_08062023013053']
Stack 2 with items: ['0090017000_08062023009549', '0090017000_08062023001960']
Stack 3 with items: ['0090017000_08062023009367', '0090017000_08062023007189']
Stack 4 with items: ['0090017000_08062023040345', '0090017000_08062023040345', '0090017000_08062023040345']
Stack 5 with items: ['0090017000_08062023040345', '0090017000_08062023037127', '0090017000_08062023037127']
Stack 6 with items: ['0090017000_08062023037127', '0090017000_08062023037127', '0090017000_08062023037127']
Stack 7 with items: ['0090017000_08062023037127', '0090017000_08062023037127', '0090017000_08062023037127']
Stack 8 with items: ['0090017000_08062023037127', '0090017000_08062023037127', '0090017000_08062023037127']
Stack 9 with items: ['0090017000_08062023036876', '0090017000_08062023036876', '0090017000_08062023036876']
Stack 10 with items: ['0090017000_08062023036876', '0090017000_08062023036550', '0090017000_08062023036550']
Stack 11 with items: ['0090017000_08062023036550', '0090017000_08062023036550', '0090017000_08062023036550']
Stack 12 with items: ['0090017000_08062023036550', '0090017000_08062023036550', '0090017000_08062023036550']
Stack 13 with items: ['0090017000_08062023036550', '0090017000_08062023036158', '0090017000_08062023036550']
Stack 14 with items: ['0090017000_08062023036158', '0090017000_08062023036158', '0090017000_08062023036158']
Stack 15 with items: ['0090017000_08062023036158', '0090017000_08062023036158', '0090017000_08062023036158']
Stack 16 with items: ['0090017000_08062023036158', '0090017000_08062023036158', '0090017000_08062023036158']
Stack 17 with items: ['0090017000_08062023036158', '0090017000_08062023034934', '0090017000_08062023031147']
Stack 18 with items: ['0090017000_08062023034544', '0090017000_08062023019886', '0090017000_08062023019215']
Stack 19 with items: ['0090017000_08062023024154', '0090017000_08062023019004', '0090017000_08062023024154']
Stack 20 with items: ['0090017000_08062023019004', '0090017000_08062023019004', '0090017000_08062023019004']
Stack 21 with items: ['0090017000_08062023019004', '0090017000_08062023019004', '0090017000_08062023019004']
Stack 22 with items: ['0090017000_08062023019004', '0090017000_08062023019004', '0090017000_08062023019004']
Stack 23 with items: ['0090017000_08062023016716', '0090017000_08062023012723', '0090017000_08062023012723']
Stack 24 with items: ['0090017000_08062023014099', '0090017000_08062023012390', '0090017000_08062023011433']
Stack 25 with items: ['0090017000_08062023012723', '0090017000_08062023006336', '0090017000_08062023006336']
Heuristic packed all stacks
