dataset: X
instance: CI6
+-----------+
2D Packing Heuristic in Truck P208883401
Min2DVol: 31.657022999999985 [m2]
Stack 0 with items: ['0090016800_14062023027697', '0090016800_14062023021711']
Stack 1 with items: ['0090016800_14062023016438', '0090016800_14062023016438']
Stack 2 with items: ['0090016800_14062023006719', '0090016800_14062023006719']
Stack 3 with items: ['0090016800_14062023011449', '0090016800_14062023027697']
Stack 4 with items: ['0090016800_14062023027697', '0090016800_14062023011174', '0090016800_14062023002501']
Stack 5 with items: ['0090016800_14062023040244', '0090016800_14062023040244', '0090016800_14062023040244']
Stack 6 with items: ['0090016800_14062023040244', '0090016800_14062023040244', '0090016800_14062023040244']
Stack 7 with items: ['0090016800_14062023040244', '0090016800_14062023040244', '0090016800_14062023040244']
Stack 8 with items: ['0090016800_14062023040244', '0090016800_14062023040244', '0090016800_14062023040244']
Stack 9 with items: ['0090016800_14062023040244', '0090016800_14062023040244', '0090016800_14062023040244']
Stack 10 with items: ['0090016800_14062023040244', '0090016800_14062023040244', '0090016800_14062023040244']
Stack 11 with items: ['0090016800_14062023040244', '0090016800_14062023040244', '0090016800_14062023040244']
Stack 12 with items: ['0090016800_14062023040244', '0090016800_14062023040244', '0090016800_14062023040244']
Stack 13 with items: ['0090016800_14062023040244', '0090016800_14062023030766', '0090016800_14062023040244']
Stack 14 with items: ['0090016800_14062023030766', '0090016800_14062023029952', '0090016800_14062023030766']
Stack 15 with items: ['0090016800_14062023029952', '0090016800_14062023029952', '0090016800_14062023029952']
Stack 16 with items: ['0090016800_14062023029952', '0090016800_14062023029952', '0090016800_14062023029952']
Stack 17 with items: ['0090016800_14062023029952', '0090016800_14062023029952', '0090016800_14062023029952']
Stack 18 with items: ['0090016800_14062023029952', '0090016800_14062023029952', '0090016800_14062023029952']
Stack 19 with items: ['0090016800_14062023011480', '0090016800_14062023011480', '0090016800_14062023011480']
Stack 20 with items: ['0090016800_14062023011480', '0090016800_14062023011480', '0090016800_14062023011480']
Stack 21 with items: ['0090016800_14062023011480', '0090016800_14062023011480', '0090016800_14062023011480']
Stack 22 with items: ['0090016800_14062023008188', '0090016800_14062023008188', '0090016800_14062023008188']
Stack 23 with items: ['0090016800_14062023008188', '0090016800_14062023008188', '0090016800_14062023008188']
Stack 24 with items: ['0090016800_14062023008188', '0090016800_14062023008188', '0090016800_14062023008188']
Stack 25 with items: ['0090016800_14062023008188', '0090016800_14062023008188', '0090016800_14062023008188']
Heuristic packed all stacks
