dataset: C
instance: TR3
+-----------+
2D Packing Heuristic in Truck P069425501
Min2DVol: 32.52641999999999 [m2]
Stack 0 with items: ['0090017000_28022023005131', '0090017000_28022023005131']
Stack 1 with items: ['0090017000_28022023000349', '0090017000_28022023000349']
Stack 2 with items: ['0090017000_28022023000349', '0090017000_28022023005131']
Stack 3 with items: ['0090017000_28022023000349', '0090017000_28022023010727']
Stack 4 with items: ['0090017000_28022023010727', '0090017000_28022023010727']
Stack 5 with items: ['0090017000_28022023005131', '0090017000_28022023010727']
Stack 6 with items: ['0090017000_28022023010727', '0090017000_28022023010727']
Stack 7 with items: ['0090017000_28022023011429', '0090017000_28022023011429', '0090017000_28022023011429']
Stack 8 with items: ['0090017000_28022023008602', '0090017000_28022023008602', '0090017000_28022023008602']
Stack 9 with items: ['0090017000_28022023008602', '0090017000_28022023008602', '0090017000_28022023008602']
Stack 10 with items: ['0090017000_28022023005730', '0090017000_28022023005730', '0090017000_28022023005730']
Stack 11 with items: ['0090017000_28022023005675', '0090017000_28022023005675', '0090017000_28022023005675']
Stack 12 with items: ['0090017000_28022023005675', '0090017000_28022023003286', '0090017000_28022023003286']
Stack 13 with items: ['0090017000_28022023003286', '0090017000_28022023003286', '0090017000_28022023003286']
Stack 14 with items: ['0090017000_28022023003286', '0090017000_28022023003286', '0090017000_28022023003286']
Stack 15 with items: ['0090017000_28022023003286', '0090017000_28022023003286', '0090017000_28022023003286']
Stack 16 with items: ['0090017000_28022023003286', '0090017000_28022023003286', '0090017000_28022023003286']
Stack 17 with items: ['0090017000_28022023003286', '0090017000_28022023003286', '0090017000_28022023003286']
Stack 18 with items: ['0090017000_28022023003286', '0090017000_28022023000831', '0090017000_28022023003286']
Stack 19 with items: ['0090017000_28022023001544', '0090017000_28022023001544', '0090017000_28022023001544']
Stack 20 with items: ['0090017000_28022023001544', '0090017000_28022023001544', '0090017000_28022023001544']
Stack 21 with items: ['0090017000_28022023000831', '0090017000_28022023000831', '0090017000_28022023000831']
Stack 22 with items: ['0090017000_28022023000831', '0090017000_28022023000831', '0090017000_28022023000831']
Stack 23 with items: ['0090017000_28022023000831', '0090017000_28022023000831', '0090017000_28022023000831']
Stack 24 with items: ['0090017000_28022023000831', '0090017000_28022023000831', '0090017000_28022023000831']
Stack 25 with items: ['0090017000_28022023000831', '0090017000_28022023000831', '0090017000_28022023000831']
Stack 26 with items: ['0090017000_28022023000831', '0090017000_28022023000831', '0090017000_28022023000831']
Stacks not packed:
Stack 26 missing: ['0090017000_28022023000831', '0090017000_28022023000831', '0090017000_28022023000831']
