dataset: B
instance: CA
+-----------+
2D Packing Heuristic in Truck P321434205
Min2DVol: 16.799999999999997 [m2]
Stack 0 with items: ['0090012500_26102022001141', '0090012500_26102022001141']
Stack 1 with items: ['0090012500_26102022000871', '0090012500_26102022000871']
Stack 2 with items: ['0090012500_26102022000871', '0090012500_26102022000871']
Stack 3 with items: ['0090012500_26102022000871', '0090012500_26102022000871']
Stack 4 with items: ['0090012500_26102022000871', '0090012500_26102022000871']
Stack 5 with items: ['0090012500_26102022000871', '0090012500_26102022000729']
Stack 6 with items: ['0090012500_26102022000729', '0090012500_26102022000655']
Stack 7 with items: ['0090012500_26102022000655', '0090012500_26102022000655']
Stack 8 with items: ['0090012500_26102022000655', '0090012500_26102022000348']
Stack 9 with items: ['0090012500_26102022000348', '0090012500_26102022000026']
Stack 10 with items: ['0090012500_26102022000026', '0090012500_26102022000026']
Stack 11 with items: ['0090012500_26102022000026', '0090012500_26102022000026']
Stack 12 with items: ['0090012500_26102022000026', '0090012500_26102022000026']
Stack 13 with items: ['0090012500_26102022000026', '0090012500_26102022000026']
Heuristic packed all stacks
