dataset: C
instance: RM3
+-----------+
2D Packing Heuristic in Truck P074396101
Min2DVol: 31.19999999999999 [m2]
Stack 0 with items: ['0090038200_28022023015547', '0090038200_28022023015547', '0090038200_28022023015547']
Stack 1 with items: ['0090038200_28022023015547', '0090038200_28022023015547', '0090038200_28022023015547']
Stack 2 with items: ['0090038200_28022023015547', '0090038200_28022023015547', '0090038200_28022023015547']
Stack 3 with items: ['0090038200_28022023015547', '0090038200_28022023015547', '0090038200_28022023015547']
Stack 4 with items: ['0090038200_28022023015547', '0090038200_28022023015547', '0090038200_28022023015547']
Stack 5 with items: ['0090038200_28022023015547', '0090038200_28022023015547', '0090038200_28022023015547']
Stack 6 with items: ['0090038200_28022023015547', '0090038200_28022023015547', '0090038200_28022023015547']
Stack 7 with items: ['0090038200_28022023015547', '0090038200_28022023015547', '0090038200_28022023015547']
Stack 8 with items: ['0090038200_28022023015547', '0090038200_28022023014286', '0090038200_28022023014286']
Stack 9 with items: ['0090038200_28022023014286', '0090038200_28022023014286', '0090038200_28022023014286']
Stack 10 with items: ['0090038200_28022023014286', '0090038200_28022023014286', '0090038200_28022023014286']
Stack 11 with items: ['0090038200_28022023014286', '0090038200_28022023014286', '0090038200_28022023014286']
Stack 12 with items: ['0090038200_28022023014286', '0090038200_28022023014286', '0090038200_28022023014286']
Stack 13 with items: ['0090038200_28022023014286', '0090038200_28022023014286', '0090038200_28022023014286']
Stack 14 with items: ['0090038200_28022023014286', '0090038200_28022023014286', '0090038200_28022023014286']
Stack 15 with items: ['0090038200_28022023014286', '0090038200_28022023014286', '0090038200_28022023014286']
Stack 16 with items: ['0090038200_28022023014286', '0090038200_28022023014286', '0090038200_28022023014286']
Stack 17 with items: ['0090038200_28022023014286', '0090038200_28022023012408', '0090038200_28022023012408']
Stack 18 with items: ['0090038200_28022023012408', '0090038200_28022023011081', '0090038200_28022023011081']
Stack 19 with items: ['0090038200_28022023011081', '0090038200_28022023011081', '0090038200_28022023011081']
Stack 20 with items: ['0090038200_28022023011081', '0090038200_28022023011081', '0090038200_28022023011081']
Stack 21 with items: ['0090038200_28022023011081', '0090038200_28022023011081', '0090038200_28022023011081']
Stack 22 with items: ['0090038200_28022023011081', '0090038200_28022023011081', '0090038200_28022023011081']
Stack 23 with items: ['0090038200_28022023011081', '0090038200_28022023011081', '0090038200_28022023011081']
Stack 24 with items: ['0090038200_28022023000674', '0090038200_28022023000674', '0090038200_28022023000674']
Stack 25 with items: ['0090038200_28022023000674', '0090038200_28022023000674', '0090038200_28022023000674']
Heuristic packed all stacks
