dataset: C
instance: CA
+-----------+
2D Packing Heuristic in Truck P088437201
Min2DVol: 23.999999999999993 [m2]
Stack 0 with items: ['0090012500_27022023002210', '0090012500_27022023002210']
Stack 1 with items: ['0090012500_27022023002187', '0090012500_27022023002187']
Stack 2 with items: ['0090012500_27022023002187', '0090012500_27022023001765']
Stack 3 with items: ['0090012500_27022023001820', '0090012500_27022023001820']
Stack 4 with items: ['0090012500_27022023001820', '0090012500_27022023001820']
Stack 5 with items: ['0090012500_27022023001820', '0090012500_27022023001820']
Stack 6 with items: ['0090012500_27022023001820', '0090012500_27022023001820']
Stack 7 with items: ['0090012500_27022023001820', '0090012500_27022023001820']
Stack 8 with items: ['0090012500_27022023001820', '0090012500_27022023001820']
Stack 9 with items: ['0090012500_27022023001820', '0090012500_27022023001820']
Stack 10 with items: ['0090012500_27022023001765', '0090012500_27022023001765']
Stack 11 with items: ['0090012500_27022023001765', '0090012500_27022023001765']
Stack 12 with items: ['0090012500_27022023001765', '0090012500_27022023001765']
Stack 13 with items: ['0090012500_27022023001671', '0090012500_27022023001671']
Stack 14 with items: ['0090012500_27022023001671', '0090012500_27022023001671']
Stack 15 with items: ['0090012500_27022023000271', '0090012500_27022023000271']
Stack 16 with items: ['0090012500_27022023000271', '0090012500_27022023000271']
Stack 17 with items: ['0090012500_27022023000271', '0090012500_27022023000271']
Stack 18 with items: ['0090012500_27022023000271', '0090012500_27022023000271']
Stack 19 with items: ['0090012500_27022023000271', '0090012500_27022023000271']
Heuristic packed all stacks
