dataset: X
instance: SA4
+-----------+
2D Packing Heuristic in Truck P192052411
Min2DVol: 29.520000000000003 [m2]
Stack 0 with items: ['0090017100_14062023013937', '0090017100_14062023013937', '0090017100_14062023013937']
Stack 1 with items: ['0090017100_14062023013937', '0090017100_14062023013937', '0090017100_14062023013937']
Stack 2 with items: ['0090017100_14062023015000', '0090017100_14062023013937', '0090017100_14062023023708']
Stack 3 with items: ['0090017100_14062023027044', '0090017100_14062023022569']
Stack 4 with items: ['0090017100_14062023022569', '0090017100_14062023022569']
Stack 5 with items: ['0090017100_14062023022569', '0090017100_14062023022569']
Stack 6 with items: ['0090017100_14062023022569', '0090017100_14062023019421']
Stack 7 with items: ['0090017100_14062023019421', '0090017100_14062023019421']
Stack 8 with items: ['0090017100_14062023014578', '0090017100_14062023014578']
Stack 9 with items: ['0090017100_14062023014578', '0090017100_14062023014578']
Stack 10 with items: ['0090017100_14062023014578', '0090017100_14062023014578']
Stack 11 with items: ['0090017100_14062023014578', '0090017100_14062023014578']
Stack 12 with items: ['0090017100_14062023014578', '0090017100_14062023014578']
Stack 13 with items: ['0090017100_14062023014578', '0090017100_14062023014578']
Stack 14 with items: ['0090017100_14062023014578', '0090017100_14062023014578']
Heuristic packed all stacks
