dataset: C
instance: AS2
+-----------+
2D Packing Heuristic in Truck P089730401
Min2DVol: 29.75999999999999 [m2]
Stack 0 with items: ['0090018000_28022023014672', '0090018000_28022023014672', '0090018000_28022023014672']
Stack 1 with items: ['0090018000_28022023014672', '0090018000_28022023014672', '0090018000_28022023014672']
Stack 2 with items: ['0090018000_28022023014672', '0090018000_28022023014672', '0090018000_28022023014672']
Stack 3 with items: ['0090018000_28022023012095', '0090018000_28022023000156', '0090018000_28022023000156']
Stack 4 with items: ['0090018000_28022023000156', '0090018000_28022023000156', '0090018000_28022023000156']
Stack 5 with items: ['0090018000_28022023014672', '0090018000_28022023014672', '0090018000_28022023014672']
Stack 6 with items: ['0090018000_28022023014672', '0090018000_28022023014672', '0090018000_28022023014672']
Stack 7 with items: ['0090018000_28022023000156', '0090018000_28022023000156', '0090018000_28022023000156']
Stack 8 with items: ['0090018000_28022023013659', '0090018000_28022023013659', '0090018000_28022023013659']
Stack 9 with items: ['0090018000_28022023013659', '0090018000_28022023012763', '0090018000_28022023013659']
Stack 10 with items: ['0090018000_28022023012763', '0090018000_28022023012763', '0090018000_28022023012763']
Stack 11 with items: ['0090018000_28022023012763', '0090018000_28022023012763', '0090018000_28022023012763']
Stack 12 with items: ['0090018000_28022023012763', '0090018000_28022023012763', '0090018000_28022023012763']
Stack 13 with items: ['0090018000_28022023011503', '0090018000_28022023011503', '0090018000_28022023011503']
Stack 14 with items: ['0090018000_28022023002661', '0090018000_28022023002661', '0090018000_28022023002661']
Stack 15 with items: ['0090018000_28022023002661', '0090018000_28022023002661', '0090018000_28022023002661']
Stack 16 with items: ['0090018000_28022023002376', '0090018000_28022023002376', '0090018000_28022023002376']
Stack 17 with items: ['0090018000_28022023002376', '0090018000_28022023002376', '0090018000_28022023002376']
Stack 18 with items: ['0090018000_28022023002376', '0090018000_28022023002376', '0090018000_28022023002376']
Stack 19 with items: ['0090018000_28022023005951', '0090018000_28022023002989', '0090018000_28022023012536', '0090018000_28022023013040']
Heuristic packed all stacks
