dataset: C
instance: FL2
+-----------+
2D Packing Heuristic in Truck P086887101
Min2DVol: 23.040000000000006 [m2]
Stack 0 with items: ['0090015100_28022023006319', '0090015100_28022023006319', '0090015100_28022023006319']
Stack 1 with items: ['0090015100_28022023006319', '0090015100_28022023006319', '0090015100_28022023006319']
Stack 2 with items: ['0090015100_28022023006319', '0090015100_28022023006319', '0090015100_28022023006319']
Stack 3 with items: ['0090015100_28022023006319', '0090015100_28022023006319', '0090015100_28022023006319']
Stack 4 with items: ['0090015100_28022023006319', '0090015100_28022023006319', '0090015100_28022023006319']
Stack 5 with items: ['0090015100_28022023006319', '0090015100_28022023006319', '0090015100_28022023006319']
Stack 6 with items: ['0090015100_28022023006319', '0090015100_28022023006319', '0090015100_28022023006319']
Stack 7 with items: ['0090015100_28022023006319', '0090015100_28022023006319', '0090015100_28022023006319']
Stack 8 with items: ['0090015100_28022023006319', '0090015100_28022023003669', '0090015100_28022023003669']
Stack 9 with items: ['0090015100_28022023003669', '0090015100_28022023003669', '0090015100_28022023003669']
Stack 10 with items: ['0090015100_28022023003669', '0090015100_28022023003669', '0090015100_28022023003669']
Stack 11 with items: ['0090015100_28022023003669', '0090015100_28022023001340', '0090015100_28022023003669']
Heuristic packed all stacks
