dataset: X
instance: RM2
+-----------+
2D Packing Heuristic in Truck P195395305
Min2DVol: 32.214180000000006 [m2]
Stack 0 with items: ['0090038200_08062023012145', '0090038200_08062023021347']
Stack 1 with items: ['0090038200_08062023002551', '0090038200_08062023018571']
Stack 2 with items: ['0090038200_08062023007315', '0090038200_08062023014999']
Stack 3 with items: ['0090038200_08062023029700', '0090038200_08062023029465', '0090038200_08062023029700']
Stack 4 with items: ['0090038200_08062023029444', '0090038200_08062023029444', '0090038200_08062023029444']
Stack 5 with items: ['0090038200_08062023029444', '0090038200_08062023029444', '0090038200_08062023029444']
Stack 6 with items: ['0090038200_08062023023570', '0090038200_08062023023237', '0090038200_08062023022964']
Stack 7 with items: ['0090038200_08062023022844', '0090038200_08062023022844', '0090038200_08062023022844']
Stack 8 with items: ['0090038200_08062023022844', '0090038200_08062023022844', '0090038200_08062023022844']
Stack 9 with items: ['0090038200_08062023021432', '0090038200_08062023014496', '0090038200_08062023021432']
Stack 10 with items: ['0090038200_08062023014496', '0090038200_08062023014496', '0090038200_08062023014496']
Stack 11 with items: ['0090038200_08062023012845', '0090038200_08062023012845', '0090038200_08062023012845']
Stack 12 with items: ['0090038200_08062023012845', '0090038200_08062023010186', '0090038200_08062023012845']
Stack 13 with items: ['0090038200_08062023010186', '0090038200_08062023006980', '0090038200_08062023010186']
Stack 14 with items: ['0090038200_08062023008011', '0090038200_08062023016999', '0090038200_08062023016999']
Stack 15 with items: ['0090038200_08062023016999', '0090038200_08062023016999', '0090038200_08062023016999']
Stack 16 with items: ['0090038200_08062023007189', '0090038200_08062023007189', '0090038200_08062023007189']
Stack 17 with items: ['0090038200_08062023008011', '0090038200_08062023008011', '0090038200_08062023008011']
Stack 18 with items: ['0090038200_08062023016999', '0090038200_08062023016999', '0090038200_08062023016999']
Stack 19 with items: ['0090038200_08062023018866', '0090038200_08062023018866', '0090038200_08062023018866']
Stack 20 with items: ['0090038200_08062023008011', '0090038200_08062023016999', '0090038200_08062023016999']
Stack 21 with items: ['0090038200_08062023007189', '0090038200_08062023007189', '0090038200_08062023007189']
Heuristic packed all stacks
