dataset: X
instance: TR4
+-----------+
2D Packing Heuristic in Truck P203425505
Min2DVol: 31.78835999999999 [m2]
Stack 0 with items: ['0090017000_14062023044023', '0090017000_14062023044023']
Stack 1 with items: ['0090017000_14062023005165', '0090017000_14062023005165']
Stack 2 with items: ['0090017000_14062023005165', '0090017000_14062023005165']
Stack 3 with items: ['0090017000_14062023044023', '0090017000_14062023044023']
Stack 4 with items: ['0090017000_14062023014769', '0090017000_14062023014769']
Stack 5 with items: ['0090017000_14062023044023', '0090017000_14062023044023']
Stack 6 with items: ['0090017000_14062023035628', '0090017000_14062023038181', '0090017000_14062023038181']
Stack 7 with items: ['0090017000_14062023035628', '0090017000_14062023035628', '0090017000_14062023035628']
Stack 8 with items: ['0090017000_14062023009994', '0090017000_14062023009994', '0090017000_14062023038181']
Stack 9 with items: ['0090017000_14062023031654', '0090017000_14062023031654', '0090017000_14062023031654']
Stack 10 with items: ['0090017000_14062023042393', '0090017000_14062023042393', '0090017000_14062023042393']
Stack 11 with items: ['0090017000_14062023042393', '0090017000_14062023042393', '0090017000_14062023042393']
Stack 12 with items: ['0090017000_14062023042393', '0090017000_14062023042393', '0090017000_14062023042393']
Stack 13 with items: ['0090017000_14062023042393', '0090017000_14062023042393', '0090017000_14062023042393']
Stack 14 with items: ['0090017000_14062023042393', '0090017000_14062023041289', '0090017000_14062023041289']
Stack 15 with items: ['0090017000_14062023041289', '0090017000_14062023041289', '0090017000_14062023041289']
Stack 16 with items: ['0090017000_14062023041289', '0090017000_14062023041289', '0090017000_14062023041289']
Stack 17 with items: ['0090017000_14062023041289', '0090017000_14062023041289', '0090017000_14062023041289']
Stack 18 with items: ['0090017000_14062023041289', '0090017000_14062023027172', '0090017000_14062023041289']
Stack 19 with items: ['0090017000_14062023027172', '0090017000_14062023016623', '0090017000_14062023016623']
Stack 20 with items: ['0090017000_14062023016623', '0090017000_14062023016623', '0090017000_14062023016623']
Stack 21 with items: ['0090017000_14062023016623', '0090017000_14062023013842', '0090017000_14062023016623']
Stack 22 with items: ['0090017000_14062023013842', '0090017000_14062023010349', '0090017000_14062023013842']
Stack 23 with items: ['0090017000_14062023030053', '0090017000_14062023030053', '0090017000_14062023030053']
Heuristic packed all stacks
