dataset: C
instance: AS
+-----------+
2D Packing Heuristic in Truck P109730109
Min2DVol: 25.92000000000001 [m2]
Stack 0 with items: ['0090018000_27022023010241', '0090018000_27022023000448', '0090018000_27022023010241']
Stack 1 with items: ['0090018000_27022023000448', '0090018000_27022023000448', '0090018000_27022023000448']
Stack 2 with items: ['0090018000_27022023014072', '0090018000_27022023014072', '0090018000_27022023014072']
Stack 3 with items: ['0090018000_27022023010241', '0090018000_27022023000448', '0090018000_27022023010241']
Stack 4 with items: ['0090018000_27022023013083', '0090018000_27022023013083', '0090018000_27022023013083']
Stack 5 with items: ['0090018000_27022023013083', '0090018000_27022023013083', '0090018000_27022023013083']
Stack 6 with items: ['0090018000_27022023011748', '0090018000_27022023010021', '0090018000_27022023010021']
Stack 7 with items: ['0090018000_27022023010021', '0090018000_27022023010021', '0090018000_27022023010021']
Stack 8 with items: ['0090018000_27022023010021', '0090018000_27022023009328', '0090018000_27022023009328']
Stack 9 with items: ['0090018000_27022023008841', '0090018000_27022023008841', '0090018000_27022023008841']
Stack 10 with items: ['0090018000_27022023008841', '0090018000_27022023008841', '0090018000_27022023008841']
Stack 11 with items: ['0090018000_27022023006198', '0090018000_27022023006198', '0090018000_27022023006198']
Stack 12 with items: ['0090018000_27022023006198', '0090018000_27022023006198', '0090018000_27022023006198']
Stack 13 with items: ['0090018000_27022023006198', '0090018000_27022023006198', '0090018000_27022023006198']
Stack 14 with items: ['0090018000_27022023006198', '0090018000_27022023006198', '0090018000_27022023006198']
Heuristic packed all stacks
