dataset: A
instance: CC
+-----------+
2D Packing Heuristic in Truck P250515401
Min2DVol: 21.120000000000005 [m2]
Stack 0 with items: ['0090016500_03072022001225', '0090016500_03072022001225', '0090016500_03072022001225']
Stack 1 with items: ['0090016500_03072022001225', '0090016500_03072022001225', '0090016500_03072022001225']
Stack 2 with items: ['0090016500_03072022001225', '0090016500_03072022001225', '0090016500_03072022001225']
Stack 3 with items: ['0090016500_03072022000910', '0090016500_03072022000910', '0090016500_03072022000910']
Stack 4 with items: ['0090016500_03072022000910', '0090016500_03072022000910', '0090016500_03072022000910']
Stack 5 with items: ['0090016500_03072022000910', '0090016500_03072022000910', '0090016500_03072022000910']
Stack 6 with items: ['0090016500_03072022000910', '0090016500_03072022000910', '0090016500_03072022000910']
Stack 7 with items: ['0090016500_03072022000910', '0090016500_03072022000910', '0090016500_03072022000910']
Stack 8 with items: ['0090016500_03072022000910', '0090016500_03072022000910', '0090016500_03072022000910']
Stack 9 with items: ['0090016500_03072022000910', '0090016500_03072022000910', '0090016500_03072022000910']
Stack 10 with items: ['0090016500_03072022000910', '0090016500_03072022000910', '0090016500_03072022000910']
Heuristic packed all stacks
